Strain,Subspecies,Host_cn,Host_sn,Location1,Location2,Mean,SE,Sequences
XYL2093_18,subsp.fastidiosa,Almonds,Prunus dulcis,Spain,Spain,5.60E-06,0.00E+00,Y
XYL2153_18,subsp.fastidiosa,Grapes,Vitis vinifera,Spain,Spain,6.08E-06,0.00E+00,Y
XYL461,subsp.fastidiosa,Italian buckthorn,Rhamnus alaternus,Spain,Spain,3.74E-06,2.92E-06,Y
XYL466_19,subsp.multiplex,Olive,Olea europaea,Spain,"Spain, Mallorca",0.00E+00,0.00E+00,Y
XYL468,subsp.multiplex,Olive,Olea europaea,Spain,Spain,0.00E+00,0.00E+00,Y
BB08-1,subsp.multiplex,Blueberry,Vaccinium spp.,FL,"USA, Florida, Palatka, Putnam",3.63E-05,1.16E-05,Y
BBI64,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Brantley, Hoboken",0.00E+00,0.00E+00,Y
BH-elm,subsp.multiplex,Elm,Ulmus americana,GA,"USA, Alabama, Jefferson, Birmingham",1.23E-04,6.22E-05,Y
CCPM1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Lumpking, Dahlonega",1.65E-03,6.28E-04,Y
Conn-creek,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Napa Valley",8.24E-05,2.29E-05,Y
EB92-1,subsp.fastidiosa,Elderberry,Sambucus spp.,FL,"USA, Florida, Lake, Leesburg",7.32E-05,4.27E-05,Y
GAplum,subsp.multiplex,Plum,Prunus sp.,GA,"USA, Georgia",0.00E+00,0.00E+00,Y
AlmaEM3,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia",7.48E-05,1.13E-05,Y
Temecula1Star,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Temecula",2.15E-04,8.67E-05,Y
Temecula1,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Temecula",4.76E-04,2.29E-04,Y
WM1-1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Lumpking, Dahlonega",2.40E-02,1.20E-02,Y
AlmaReb3,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",0.00E+00,0.00E+00,NA
AlmaStar1,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",3.37E-06,2.35E-06,NA
AlmaStar2,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",6.32E-07,2.39E-08,NA
AlmaStar3,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",1.64E-05,5.87E-06,NA
BBI83,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Brantley, Hoboken",0.00E+00,0.00E+00,N
BB08-3,subsp.multiplex,Blueberry,Vaccinium spp.,FL,"USA, Florida, Palatka, Putnam",1.45E-03,7.80E-04,N
CC Cab 1,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia",1.01E-02,7.44E-03,N
CFBP8419,subsp.sandyi,Coffee,Coffea arabica,Plant intercepted-France,France,0.00E+00,0.00E+00,N
EB 92-3,subsp.fastidiosa,Elderberry,Sambucus spp.,FL,"USA, Florida, Lake",1.04E-04,4.30E-05,N
F2 Isol 3,subsp.fastidiosa,Grapes,Vitis vinifera,GA,"USA, Georgia, Lumpking, Dahlonega",1.88E-02,2.63E-03,N
